"A1021","ENTALLY ACADEMY"
"L1368","BRAHMAN KHALISA SWARUPANANDA ADARSHA VIDYAPITH(HIGH SCHOOL)"
"L1376","SIROMANI BIRSA MUNDA HIGH SCHOOL(BENGALI MEDIUM)"
"L1394","FATECHAK KISHORIMOHAN VIDYAMANDIR(HIGH SCHOOL)"
"L1431","DEULI KALASBARH RAMKRISHNA VIDYAPITH(HIGH SCHOOL)"
"L4005","BHUTA D.A.V.HIGH SCHOOL"
"L4024","JALSARA RAMKRISHNA HIGH SCHOOL"
"L4026","JHAKRA HIGH SCHOOL"
"L4033","KHANPUR GANGCHE HIGH SCHOOL"
"L4036","KHIRPAI HIGH  SCHOOL"
"L4049","NABIN MAHESHPUR K.K.B.HIGH SCHOOL"
"L4099","SURATPUR SRI AUROBINDA SATABARSIKI VIDYAMANDIR"
"L4104","KALICHAK BARGOBINDA DESHPRAN HIGH SCHOOL"
"L4106","MAHESHPUR HIGH SCHOOL"
"L4108","DANDIPUR MANMATHA HAZRA VIDYAMANDIR(HIGH SCHOOL)"
"L4119","KUMARCHAK MAHENDRA HIGH SCHOOL"
"L5007","BANSDA S.C.HIGH SCHOOL"
"L5023","DUBRA ADARSHA VIDYAMANDIR"
"L5045","KHUDMORAI GAJENDRA SIKSHA SADAN"
"L5095","ODALCHUA S T HIGH SCHOOL"
"L5133","BARUNSOLE BENARASILAL HIGH SCHOOL"
"M1025","ST ROBERTS HIGH SCHOOL"
"M1027","TURNBULL HIGH SCHOOL"
"M1044","DR RADHAKRISHNAN HIGH SCHOOL"
"M2014","SANKAR HIGH SCHOOL"
"M2023","SAMTHAR HIGH SCHOOL"
"M4011","ILA PALCHOUDHURI MEMORIAL (TRIBAL) HIGH SCHOOL"
"M4015","MARGARET S N ENGLISH SCHOOL"
"M4052","BURAGANJ KALKUT SINGH HIGH SCHOOL"
"N1014","BARAPATIA PANCHIRAM NAHATA HIGH SCHOOL"
"N1019","BHAWANI HIGH SCHOOL"
"N1034","FATEPUKUR SARADAMONI VIDYALAYA"
"N1035","FULBARI HIGH SCHOOL"
"N1053","KHARIJA BERUBARI HIGH SCHOOL"
"N1057","KUKURJAN HIGH SCHOOL"
"N1059","LAL BAHADUR SHASTRI SMARAK BENGALI HINDI HIGH SCHOOL"
"N1063","MALLICKPARA VIDYANIKETAN"
"N1072","MOYNAGURI SUBHASNAGAR HIGH SCHOOL"
"N1074","NAGRAKATA HIGH SCHOOL"
"N1076","NAGRAKATA ST MARYS BOARDING HIGH SCHOOL"
"N1077","NATHUAHAT ASHRAM TYPE GOVT SPONS HIGH SCHOOL"
"N1082","POLWHELE HIGH SCHOOL"
"N1093","SALBARI HIGH SCHOOL"
"N1105","BELAKOBA GIRLS HIGH SCHOOL"
"N1109","DHUPGURI GIRLS HIGH SCHOOL"
"N1134","KHAGRABARI GIRLS HIGH SCHOOL"
"N1155","BASU SUBA HIGH SCHOOL"
"N1164","BASUDEV GIRLS' HIGH SCHOOL"
"N1165","NATHUAHAT DHAPIDEVI BALIKA VIDYALAYA(HIGH SCHOOL)"
"N1167","BIDHANNAGAR HIGH SCHOOL"
"N1171","PAHARPUR NACHHIRUDDIN HIGH SCHOOL"
"N2009","BHUTANIRGHAT HIGH SCHOOL"
"N2027","JITPUR HIGH SCHOOL"
"N2034","KHOARDANGA JALANESWARI HIGH SCHOOL"
"N2036","LOKNATHPUR HIGH SCHOOL"
"N2057","SISHUBARI HIGH SCHOOL"
"N2065","ALIPURDUAR BALIKA SIKSHA MANDIR"
"N2070","ARABINDANAGAR MADHYAMIK BALIKA VIDYALAYA"
"N2073","FALAKATA GIRLS HIGH SCHOOL"
"N2081","CHILAPATA FOREST HIGH SCHOOL"
"N2093","UNION ACADEMY KALCHINI HIGH SCHOOL FOR GIRLS"
"N2096","UTTAR BHATIBARI GIRLS HIGH SCHOOL"
"N2111","MADHU T E HIGH SCHOOL(BENGALI MEDIUM)"
"N2118","LANKAPARA BAZAR HIGH SCHOOL"
"O1013","DEWANBOSH R N A HIGH SCHOOL"
"O1027","MANINDRANATH HIGH SCHOOL"
"O1055","SRI RAMKRISHNA BALIKA VIDYALAYA"
"O1068","SUKDHANER KUTHI HIGH SCHOOL"
"O2003","BAKSHIRHAT HIGH SCHOOL"
"O2036","MUGABHOG HIGH SCHOOL"
"O3009","GOPALNAGAR M S S HIGH SCHOOL"
"O3016","NAYARHAT HIGH SCHOOL"
"O3022","SALMARA HIGH SCHOOL"
"O3024","STATIONPARA SARANARTHI HIGH SCHOOL"
"O3039","KAJLIKURA HIGH SCHOOL"
"O3042","MAHAKALHAT HIGH SCHOOL"
"O3046","SUTIBARI HIGH SCHOOL"
"O4028","SHIKARPUR HIGH SCHOOL"
"O5007","JAMALDAHA TULSI DEVI HIGH SCHOOL"
"P1010","BETNA RAMKRISHNAPUR HIGH SCHOOL"
"P1027","HATIA HIGH SCHOOL"
"P1036","KARNAJORA HIGH SCHOOL"
"P1045","LAKSHMIPUR M C VIDYABHABAN"
"P1049","MARAIKURA INDRA MOHAN VIDYABHABAN"
"P1062","SEVAGRAM HIGH SCHOOL"
"P1072","ITAHAR GIRL'S HIGH SCHOOL"
"P1077","RAIGANJ X CLASS GIRLS HIGH SCHOOL"
"P1106","DEHUCHI HIGH SCHOOL"
"P2001","BEGUA HIGH SCHOOL"
"P2028","RAMGANJ HIGH SCHOOL"
"P2060","BACHCHA MUNSHI SMRITI BALIKA VIDYALAYA HIGH SCHOOL"
"P2081","ISHAQUE MAJLISPUR HIGH SCHOOL"
"Q1009","BALAPUR HIGH SCHOOL"
"Q1030","DEOR PANAULLA HIGH SCHOOL"
"Q1050","KUMARGANJ HIGH SCHOOL"
"Q1057","NALANDA VIDYAPITH"
"Q1068","RAMCHANDRAPUR HIGH SCHOOL"
"Q1084","BALUPARA COLONY NIVEDITA BALIKA VIDYALAYA"
"Q1125","BARAM HIGH SCHOOL"
"Q2003","BANSIHARI HIGH SCHOOL"
"R1038","DAULATNAGAR HIGH SCHOOL"
"R1049","GOBINDAPARA HIGH SCHOOL"
"R1053","HATIMARI HIGH SCHOOL"
"R1058","JALALPUR H R A HIGH SCHOOL"
"R1080","MAHADIPUR HIGH SCHOOL"
"R1089","MALDA TOWN HIGH SCHOOL"
"R1094","MANIKCHAK HIGH SCHOOL"
"R1101","MITNA HIGH SCHOOL"
"R1105","MUCHIA ANCHAL C M HIGH SCHOOL"
"R1108","NABABNAGAR K K J K VIDYAPITH"
"R1150","TIAKATI HIGH SCHOOL"
"R1154","AIHO GIRLS HIGH SCHOOL"
"R1156","BANSBARI KRISHNAMOHAN BALIKA VIDYALAYA"
"R1159","CHANCHAL RANI DAKSHAYANI GIRLS HIGH SCHOOL"
"R1161","JALALIA GIRLS HIGH SCHOOL"
"R1168","MOHANPARA NIVEDITA BALIKA VIDYALAYA"
"R1175","THAKUR ANUKUL CHANDRA BALIKA VIDYAMANDIR(HIGH)"
"R1176","NORHATTA G S HIGH SCHOOL"
"R1183","PARLALPUR HIGH SCHOOL"
"R1192","CHAKNAGAR D R T HIGH SCHOOL"
"R1219","DHANGARA RANGHAT HIGH SCHOOL"
"R1230","GOUR CHANDRA GHOSH GIRLS' HIGH SCHOOL"
"R1235","BEJPURA KALIKAPUR HIGH SCHOOL"
"R1242","JANAKALYAN S G HIGH SCHOOL"
"R1252","AHORA VIVEKANANDA SIKSHANIKETAN(HIGH SCHOOL)"
"R1258","MEHERPUR HIGH SCHOOL"
"T1001","AKUNI B.G.BIHARILAL INSTITUTION"
"T1021","GARALGACHA SURABALA VIDYAMANDIR"
"T1027","KANAIPUR SREEGURU HIGH SCHOOL"
"T1028","KONNAGAR HIGH SCHOOL"
"T1045","NILARPUR RAJA RAMMOHAN VIDYAPITH"
"T1095","MOREPUKUR SHAIBALINI DEVI UCHCHA BALIKA VIDYANIKETAN"
"T1100","RAGHUNATHPUR BALIKA VIDYALAYA"
"T1119","KAPASHARIA HIGH SCHOOL"
"T1137","HARIADAHA SUDHA PRASAD BALIKA VIDYAMANDIR(HIGH SCHOOL)"
"T1144","NALDIGHI HIGH SCHOOL"
"T1147","SRI KRISHNANAGAR SRI KRISHNA VIDYAMANDIR(HIGH SCHOOL)"
"T1153","FATEMA GIRLS' HIGH SCHOOL"
"T1161","SHISHU SADAN HIGH SCHOOL"
"U1004","BAGA HIGH SCHOOL"
"U1029","FULKUSHMA HIGH SCHOOL"
"U1034","GORABARI HIGH SCHOOL"
"U1045","JORDA NEW MODEL HIGH SCHOOL"
"U1046","KADMA HIGH SCHOOL"
"U1048","KASHIPUR HIGH SCHOOL"
"U1063","MATGODA HIGH SCHOOL"
"U1068","PALLIBHARATI TILABANI HIGH SCHOOL"
"U1077","SALDIHA HIGH SCHOOL"
"U1085","GARHRAIPUR GIRLS HIGH SCHOOL"
"U1089","SARENGA GIRLS HIGH SCHOOL"
"U1093","DUMURDIHA HIGH SCHOOL"
"U1095","KECHANDA V P A VIDYAPITH"
"U1114","LAKSHMISAGAR BIJOY VIDYANIKETAN BALIKA VIDYAMANDIR(HIGH)"
"U1117","BAHARAMURI HIGH SCHOOL"
"U1139","ARKAMA HIGH SCHOOL"
"V2022","BARABANTALIA HIGH SCHOOL"
"V2050","CONTAI KSHETRAMOHAN VIDYABHABAN"
"V2075","GOPALPUR UNION RAKHAL VIDYALAYA"
"V2112","MANIKJORE KAMINI KUMARI HIGH SCHOOL"
"V2135","PICHHABANI BANINIKETAN HIGH SCHOOL"
"V2142","SAFIABAD SITAL PRASAD VIDYAMANDIR"
"V2162","BAGMARI NARIKALYAN SIKSHASADAN"
"V2163","BAHIRI PURNIMA GIRLS HIGH SCHOOL"
"V2167","CHARABARH GIRLS HIGH SCHOOL"
"V2173","KALYACHAK ARYATANAYASHRAM GIRLS HIGH SCHOOL"
"V2178","YOGODA SATSANGA PALPARA BALIKA VIDYALAYA"
"V2179","CHALTI NAGENDRA VIDYAPITH"
"V2207","DAKSHINCHAK HIGH SCHOOL"
"V2249","BANKIPUT HIGH SCHOOL"
"V2276","KALMICHHABAR HATURIADALBAR P S GIRLS' HIGH SCHOOL"
"V2305","KARTICKKHALI S A SIKSHANIKETAN(HIGH SCHOOL)"
"V3020","BARSUNDRA HIGH SCHOOL"
"V3058","GHOLEPUKURIA JOYKALI HIGH SCHOOL"
"V3080","ISWARPUR BIPIN MEMORIAL ACADEMY"
"V3136","PARBATIPUR PATITPABANI HIGH SCHOOL"
"V3143","RAJARAMCHAK SIKSHANIKETAN"
"V3155","SHYAMGANJ TRAILAKYAMAYEE VIDYAMANDIR"
"V3159","SIMULIA CHANDIMATA KEDARNATH VIDYAPITH"
"V3178","ANANTAPUR BANINIKETAN GIRLS HIGH SCHOOL"
"V3192","KALYANCHAK PANCHAMI SMRITI KANYA VIDYAPITH"
"V3203","NANDIGRAM BRAJAMOHAN GIRLS HIGH SCHOOL"
"V3229","MIRJA NAGAR ARONGKIARANA JOGYESWAR SMRITI VIDYAPITH"
"V3262","HATIBERIA ARUN CHANDRA HIGH SCHOOL"
"V3282","NANDAPUR MILANI BALIKA VIDYANIKETAN(HIGH SCHOOL)"
"Z1001","TEST SCHOOL"

